title,content,category,agree_count,url
지귀연 판사 탄핵에 관한 청원,"우리는 친위쿠데타 군사반란 우두머리를 제멋대로 석방한 법술사 지귀연을 민주공화국 대한민국 주권자 국민의 이름으로 탄핵하여, 헌정수호의 무거운 의무를 진 사법부를 일벌백계 하고자 한다. 국회와 헌법재판소는 민주공화국 대한민국의 헌법정신과 주권자 국민의 뜻에 따라 지귀연을 탄핵하라. 이로써 12.3 친위쿠데타 군사반란 주요 가담자들의 내란 중요임무 종사 혐의 사건들을, 일개 법술사가 아닌 헌정수호의 의지가 뚜렷한 진짜 판사가 맡도록 해야만 한다. 지귀연이 부장판사의 권한을 남용해 내란 우두머리의 구속을 취소하고자 벌인 위법행위는 이미 양식있는 법조인들에 의해 낱낱이 드러나 있다. 구속기간을 시간으로 따진 것은 날짜를 기준으로 산정토록 한 형사소송법 규정에 명백히 반하는 법 장난질에 불과하며, 가장 엄중한 내란 우두머리 혐의의 현행범에게 증거인멸의 우려라는 구속사유가 엄존하는 상황에서 구속 취소는 가능한 선택지가 아님이 명명백백하다. 심지어 2022년 지귀연판사가 참여한 한국사법행정학회의 형사소송법 해설서에 구속기간은 시간이 아닌 일로 한다고 명시한 바 있다. 3년이 채 지나지 않은 지금 그의 논리가 바뀐 이유가 분명치 않음은 내란수괴 윤석열을 이롭게 하려는 의도에 다름 아니다. 우리 민주공화국 주권자 시민들은 사법부의 판결을 무조건 신뢰하고 존중할 수 없다. 시민의 피를 먹여 키워온 우리 민주주의 역사상 여러 중요한 순간에, 법복을 입은 자들의 판결은 엄존하는 공화국 헌법과 헌법정신을 수호하는 대신 권력자의 편에 서 헌법을 능멸하곤 했다. 박정희 독재의 1975년 인혁당 사법살인부터 2004년 헌법재판소의 수도이전 관습헌법 위헌 판결, 박근혜 정권과 야합한 양승태 사법농단, 가까이는 헌재의 2021년 임성근 부장판사 탄핵 각하와 지난 1월 이진숙 방통위원장 탄핵 각하에 이르기까지, 헌법과 법률, 양심은 제쳐 놓은 법술사들의 말 같지 않은 판결들이 나라를 좀먹어왔다. 우리 시민들은 다 알고 있다, 다만 참아왔을 뿐이다. 하지만 이제 절대로 참아줄 수 없는 시간이 오고 있다. 전 세계가 함께 실시간으로 목격한 친위쿠데타 군사반란의 우두머리는 이미 민주공화국 헌법정신과 주권자 시민들의 뜻에 따라 탄핵, 파면, 사형선고를 받았다. 국방의 신성한 의무를 수행하는 국군을 사병화해 국민의 대표 국회의원들을 비롯한 우리 국민들의 생명을 위협한 친위쿠데타 군사반란은 다른 어떤 범죄와도 비교 불가능한, 절대 용서받을 수 없는 최악의 중죄다. 헌법재판소의 판사들과, 지귀연을 대신해 12.3 친위쿠데타 군사반란을 담당할 판사들은 반드시 명심해야 한다. 헌법과 법률, 당신들의 양심이 이미 알고 있듯이, 내란 우두머리의 죄값은 이미 확정되었다. 내란 우두머리의 탄핵, 파면, 사형선고를 통해 대한민국이 국민이 주권자인 민주 헌정공화국임을 만천하에 재확인하는 것, 오직 그것만이 그대들의 유일한 권리이자 의무이다. 다른 길은 없다. 국회와 헌법재판소는 내란 우두머리 현행범 윤석열을 무단으로 석방한 법술사 지귀연을 즉시 탄핵하여, 친위쿠데타 군사반란을 진압해 민주공화국 헌정 수호의 신성한 의무를 다할 것임을 천명하라. 2025년 3월 11일 세종강물, 민민운, 부산당당, 민대련, 더민실, 대경파란, 민경네 7개 더불어민주당 당원단체 일동",정치/선거/국회운영,58209,https://petitions.assembly.go.kr/proceed/closed/2BDEDB23E6B4326FE064B49691C6967B
「아동·청소년의 성보호에 관한 법률」 상 가상의 표현물 제외에 관한 청원,"[배경 및 문제 인식] 1. 가상의 표현물 단속에 투입되는 과도한 예산 가상의 아동 묘사 유포 혐의 조사에 수사 감정 비용이 상당히 투입되고 있습니다. 2. 실제 피해 아동 지원 예산 부족 피해아동 상담 심리지원 쉼터 운영 등에 할당되는 예산이 제한적이어서 긴급 구조와 치료 서비스 확대에 어려움이 있습니다. 3. 법 적용 기준의 모호성과 창작자 혼선 명백히 인식될 수 있는 용어 정의가 주관적 해석에 의존해 일관성 있는 법 집행이 어렵고, 창작자들이 법적 불확실성으로 인해 자율적 표현 활동에 위축을 느끼고 있습니다. [주요 청원 사항] 1. 아청법 제2조(정의) 개정 아동 청소년으로 명백히 인식될 수 있는 사람이나 표현물 정의에서 표현물 을 삭제하고, 법 적용 대상을 현실 인물로 한정할 것. 2. 가상의 창작물 보호 조항 신설 만화 애니메이션 게임 등 순수 창작물은 별도 규제 대상에서 제외하되, 미성년자 착취 목적의 상업적 유통물은 다른 법률로 관리하도록 법제화. 3. 수사 예산 전환 및 재투자 가상의 표현물 단속에 투입되는 수사 감정 예산을 피해 아동 보호 지원 예산으로 전환하여 긴급 구조 심리지원 교육 프로그램 운영에 집중할 것. [기대 효과 및 사회적 이익] 1. 국민 세금 절감 및 재정 건전성 확보 가상의 단속 예산 절감으로 확보된 재정 여유를 다른 공공 서비스에 활용할 수 있습니다. 2. 실제 피해 아동 보호 강화 전환된 예산으로 전국 아동 상담센터 추가 설립 및 긴급 쉼터 운영 인력 보강이 가능해집니다. 3. 표현의 자유 보장 및 창작 산업 활성화 명확한 법적 안전망으로 국내 만화 게임 애니메이션 산업의 투자 및 창작 활동이 활발해질 것입니다. 4. 법 집행 예측 가능성 제고 구체적 기준 마련을 통해 법 적용 과정의 일관성과 투명성을 확보하고, 국민의 법적 신뢰를 높일 수 있습니다. [결론] 국민의 세금을 효율적으로 사용하고, 가상의 순수 창작물을 보호하며, 진정으로 도움이 필요한 실제 아동 청소년에게 지원을 집중할 수 있도록 아청법 개정을 간절히 요청드립니다. 이상과 같은 청원 내용이 국회 심의 의결 과정에서 폭넓게 반영되어 법 개정으로 이어지길 기대합니다. 감사합니다.",저출산/고령화/아동/청소년/가족,18406,https://petitions.assembly.go.kr/proceed/closed/32739B2290A35CC6E064B49691C6967B
극희귀난치성 질환 환자를 위한 ‘리브말리액’ 건강보험 신속한 적용 요청에 관한 청원,"1. 가려움증과 피부손상은 아이의 일상을 파괴합니다 밤마다 긁어 생긴 상처, 그 위로 또 긁으며 생기는 진물과 출혈. 가려움은 단순한 불편함이 아니라, 아이의 삶을 지배하는 고통입니다. 2. 지방종은 겉으로도 확인되는 고통의 흔적입니다 높은 콜레스테롤 수치로 인한 지방종(황색종) 이 눈에 띄게 많아지고 있습니다. 이는 단순한 미용의 문제가 아니라, 아이의 몸에 담즙과 지방이 얼마나 축적되고 있는지를 보여주는 심각한 신호입니다. 3. 수술 이전, 약으로 치료받을 수 있는 기회를 주세요 아직 너무 어린 아이에게 간이식이라는 큰 수술이 아닌, 약으로 증상을 완화시킬 수 있는 기회와 선택권이 절실합니다. 4. 희귀질환은 개인이 감당할 수 없는 질병입니다 치료제는 있지만 보험이 적용되지 않아 치료를 포기해야 하는 현실은 너무나 가혹합니다. 건강보험 급여 적용은 생명에 대한 최소한의 책임이며, 국가의 역할입니다. ?? 우리 부모들의 간절한 목소리입니다 이 약이 있다는 걸 알고 있으면서도, 나이 제한, 보험 미적용, 제도적 장벽으로 인해 우리 아이는 여전히 황달과 가려움, 피부손상 속에서 고통을 견디고 있습니다. 하루라도 빨리, 더 심해지기 전에. 지금 치료받을 수 있도록 제도적 지원이 절실합니다. ?? 마무리 말씀 이 청원이 희귀질환 환아들에게 필요한 치료 기회를 열어주는 출발점이 되길 소망합니다. 우리 아이가 더 이상 긁지 않기를, 밤에 울지 않고 편히 잠들 수 있기를, 노란 피부 위에 더 이상 상처가 생기지 않기를 바랍니다. 리브말리액은 단순한 신약이 아니라, 한 아이의 내일을 지켜줄 수 있는 기회이자 희망입니다. 부디 보건당국과 정부가 이 아이들의 손을 잡아주시기를 간절히 요청드립니다. 감사합니다.",보건의료,2743,https://petitions.assembly.go.kr/proceed/closed/32739970927E59CAE064B49691C6967B
조희대 대법관을 포함한 10명의 대법관과 지귀연 판사 즉각 탄핵에 관한 청원,"조희대 대법원장을 포함한 10명의 대법관들은 절차와 규정을 어기며 야권의 유력 대선 후보의 선거법 위반 혐의에 대한 재판을 강행해 사법시스템을 파괴하고 국민의 신뢰를 훼손하였습니다. 특히 조기 대선이 시작된 민감한 시기에 비상식적이고 비정상적인 재판 절차를 진행함으로써 명백히 대선에 개입하였습니다. 이것은 공무원의 정치적 중립의무를 위반한 것이며 직권을 남용한 불법행위입니다. 법의 공정성과 정당성을 가장 엄격하게 수호해야 할 대법관들이 버젓이 불법, 불공정 행위를 벌인 것은 매우 심각한 법치파괴 행위이자 민주적 질서를 뒤흔드는 사법난동입니다. 판사 지귀연은 조희대 대법원장의 지명으로 내란수괴 윤석열과 공범들에 대한 재판을 담당하게 되었고, 윤석열을 시간단위 계산법으로 석방하여 국민들의 강력한 지탄을 받고 있는 자입니다. 이에 더해 지귀연은 윤석열에 대한 황제 특혜를 제공하고 증거인멸의 시간을 보장하고 있으며 공범들의 재판을 비공개로 진행하여 국민의 알권리를 가로막고 있습니다. 이러한 지귀연의 행적은 재판의 공정성과 합리성을 불신하게 만들고 있으며 재판 결과가 어떠하든 국민적 신뢰를 얻지 못하게 만들고 있습니다. 이러한 사법부의 행태를 그대로 허용한다면 재판을 비롯한 모든 사법 절차를 국민들이 신뢰하지 않을 것이며 민주적 질서와 법치는 회복할 수 없는 지경에 이르게 될 것입니다. 따라서 이러한 사법적 위기를 조속히 해결하고 법치를 회복하기 위해 조희대 대법원장을 포함한 10명의 대법관과 지귀연 판사를 즉각 탄핵해 직무에서 배제해야 합니다. 직권남용, 직무유기, 공무원의 정치중립의무 위반 및 공직선거법 위반 등의 죄를 범한 대법원장 조희대, 대법관 박영재, 신숙희, 권영준, 이숙연, 오석준, 서경환, 엄상필, 노경필, 마용주와 지귀연 판사를 즉각 탄핵할 것을 청원합니다.",정치/선거/국회운영,64161,https://petitions.assembly.go.kr/proceed/closed/32739970923A59CAE064B49691C6967B
보건복지부 출신 관료들의 관련 기업 재취업 금지법 제정 요구에 관한 청원,"금번 의료사태를 국민들이 겪으며 1년이 넘는 기간 동안 큰 고통속에 살았음을 우리는 모두 알고 있다. 이러한 정책의 혜택자는 1명도 없고 모두가 피해자이다. 과연 이 정책의 수혜자는 시간이 지나면 누가 될 것인가. 이 의료 패키지라는 정책 수립의 배경이 복지부 관료의 퇴직이후를 위한 개인적인 보험용이었다는 우려가 국민사이에 널리 퍼지고 있다. 보험료는 상승하고 국민의 의료 환경은 나빠지며, 의사들의 근무여건의 개선은 없고, 소송의 부담은 여전하다. 의료 재정은 고갈되어가고 국민이 내야할 의료 보험료와 각종 수가는 증가하고 있다. 보건복지부 관료들의 정책이 보다 국민을 위한 방향으로 세워지고 국민의 공복으로 일하는 가장 기본적인 청렴함의 자세만이 정도를 걸을 수 있는 중심이 되어야 한다. 따라서 보건복지부 관료들의 퇴직후 관련 기업에 재취업을 금지하는 법안을 통해 공무원으로서의 투명한 업무처리와 급변하는 국가 상황에서도 사심없이 일할 수 있도록, 그리고 기업들의 로비가 공무원들의 청렴함을 흔들지 못하도록 하는 재취업 금지 법안이 필요하다. 국회는 보건복지부 관료들의 관련 기업 재취업 10년 금지 법안을 재정해주기 바란다.",행정/지방자치,9637,https://petitions.assembly.go.kr/proceed/closed/313F3FF06F245823E064B49691C6967B
반려동물 보호자 권리 보장 및 수의사법 개정을 통한 무자격 진료 처벌·진료기록·CCTV·동의서 관리 강화 요청에 관한 청원,"동물병원 진료 중 발생하는 문제에 대해 보호자는 정보를 충분히 제공받지 못하고, 진료기록이나 영상자료 등도 병원 임의로 통제되는 경우가 많습니다. 무자격자의 처치, 진료기록 미기재, 동의서 사본 미교부, CCTV 미설치 등은 동물 생명권과 보호자 권리를 심각하게 침해하고 있습니다. 진료기록이 누락 수정되더라도 처벌이 어렵고, 보호자가 요청해도 기록 제공 CCTV 열람을 거부해도 법적 강제력이 부족하며, 치료 동의서도 병원만 보관하여 분쟁 발생 시 보호자가 증빙할 수단이 없습니다. 특히 자격 없는 인력이 주사 수액 등의 처치를 해도 실질적 처벌이 미약합니다. 이로 인해 보호자는 자신의 반려동물이 어떤 처치를 받았는지조차 알 수 없는 현실이며, 사망 이후에도 진실을 확인할 방법이 없습니다. 청원의 주요 요청 사항 다음과 같은 수의사법 개정 및 제도 도입을 요청합니다 1. 무자격자의 진료 처치 행위에 대한 처벌 강화 자격 없는 자가 주사, 수액, 처치 시 형사처벌 및 병원 행정처분 명시 처치 투약 내역에 시술자 실명 기재 의무화 2. 진료 동의서 보호자 사본 제공 의무화 모든 수술 입원 처치 동의서에 대해 보호자에게 1부 교부 의무 향후 법적 분쟁 시 활용 가능하도록 제도화 3. 진료기록 보호자 열람권 및 수정 이력 공개 의무화 보호자의 요청 시 진료기록을 지체 없이 제공 전자기록의 수정 삭제 이력을 자동 저장하고 열람 시 제공 4. CCTV 설치 및 영상 열람 보존 기준 마련 진료실, 입원실, 처치실, 상담실(원장실 포함) CCTV 의무 설치 사각지대 없는 설계 기준 수립 보호자 요청 시 영상 제공 및 일정 기간 이상 보존 의무화 실시간 보호자 모니터링 도입 검토 5. 의약품 및 처치내역 관리 강화 사용된 약물명, 용량, 투약시각, 담당자 실명 기록 의무화 전자관리 시스템 구축으로 위조 은폐 방지 6. 수의사 등록 자격 관리 시스템 구축 무자격 진료 방지 위한 국가 등록제 및 자격 조회 시스템 마련 위반 시 면허 정지 취소 등 행정처분 강화 관련 사례 2025년 2월 5일, 서울 OO구 OO동 동물병원에서 반려견이 치료 중 사망 사망사실 및 응급처치 내역이 진료기록에서 누락 병원은 처음엔 캔사료 급여라 설명했다가 이후 유산균 이라 번복 보호자가 진료기록 열람을 요구한 뒤 일부 내용이 수정된 정황 주사 수액 처치를 누가 했는지 기록 없음 진료 당시 상담실(원장실)에는 CCTV 미설치로 대화 내용 확인 불가 보호자는 동의서 사본을 교부받지 못해 진료행위 증명 불가 청원의 요약 반려동물도 가족입니다. 보호자는 반려동물이 어떤 치료를 받고 어떤 이유로 사망했는지를 정확히 알 권리가 있습니다. 그러나 현재 수의사법은 진료기록, 동의서, CCTV, 자격관리 등 핵심 영역에서 보호자의 권리를 충분히 보장하지 못합니다. 진료의 투명성과 책임성을 확보하고, 보호자가 치료 내용을 직접 확인할 수 있는 환경을 만들기 위해 수의사법의 실질적인 개정이 필요합니다. 국민 여러분의 동의와 지지를 간곡히 요청드립니다.",농업/임업/수산업/축산업,578,https://petitions.assembly.go.kr/proceed/closed/3A83DA1DCE484428E064B49691C6967B
입양허가 기각 판결에 대한 기준 개선 및 아동 중심 입양 제도 마련 요청에 관한 청원,제가 보호하고 있는 아이는 입양특례법상 아동으로 전제위탁 절차를 통해 저희 가족과 함께 살아오며 이미 정서적으로 깊은 유대 관계를 맺은 상태입니다. 1년 동안 안정된 환경 속에서 아이를 양육해왔고 아이의 복지를 위해 부모님 곁으로 이사하며 더 나은 가정환경을 마련하였습니다. 아동복지기관과 관련 행정기관에서도 양육환경과 보호자의 적합성을 긍정적으로 평가 한 바 있습니다. 그럼에도 불구하고 대법원은 2025년 6월 5일 자로 입양허가를 이유없음 이라는 판단만으로 기각하였고 그 결정으로 아이는 법적 가족을 갖지 못하게 되었습니다. 이 사건은 단지 한 사람의 안타까운 일이 아닙니다. 입양 과정 전반에 걸쳐 다음과 같은 구조적 문제가 있음을 보여줍니다. 1.입양 허가 기각의 사유가 명시되지 않음 2.아동의 정서적 안정과 복지가 판단에서 충분히 고려되지 않음 3.행정기관과 사법부의 입양 판단 기준이 불일치함 이에 다음과 같은 제도 개선을 강력히 요청드립니다. 입양허가 기각 시 명확한 사유 명시 의무화 입양 전 실질적 양육 관계 형성이 된 경우 이를 반영한 정서 중심의 판단 기준 마련 입양특례법에 따른 전제위탁 보호자의 권리 보장 강화 아동복지기관과 사법부 간 입양 판단 기쥰의 통일화 및 실무 지침 마련 맺음말 입양은 단순한 법적 절차가 아니라 한 아이의 인생을 책임지겠다는 다짐이며 사랑의 실천입니다. 현재의 제도와 판결이 아이의 삶을 분리와 불안으로 이끄는 것이 아니라 가족과 안정 속으로 안내할 수 있도록 입양 제도의 실질적인 개선이 절실합니다. 부디 국회가 본 청원을 바탕으로 입양 제도 전반을 재검토해주시길 간곡히 요청드립니다.,수사/법무/사법제도,174,https://petitions.assembly.go.kr/proceed/closed/327456CD86740EDDE064B49691C1987F
CBDC(중앙은행 디지털화폐) 도입의 일시 중단 및 선택권 보장에 관한 청원,"정부와 한국은행이 추진하고 있는 CBDC(중앙은행 디지털화폐) 및 디지털 바우처 시스템은 통화정책의 효율성, 자금의 투명성 확보 등 긍정적인 목적을 지니고 있는 것으로 알고 있습니다. 그러나 이와 같은 제도가 실제로 시행될 경우, 국민의 금융 선택권과 사생활의 자유, 디지털 접근성 등 여러 측면에서 우려가 제기되고 있습니다. 이에 국민적 공감대 형성과 신중한 제도 설계가 선행되어야 함을 강조하며 CBDC 도입 및 관련 시범사업의 일시 중단과 제도적 재검토를 요청드리고자 합니다. 그리고 저는 현금 사용을 좋아합니다 그러므로 다시 재검토를 해주시기 바랍니다. 추후 현 대통령이신 이재명 대통령님과 현 한국은행 총재이신 이창용 총재님이 8만원권 10만원권으로 나오실 수 있습니다 부디 재검토를 해주시기 바랍니다",재정/세제/금융/예산,"52,898명",https://petitions.assembly.go.kr/proceed/cmtReferred/3A83DE9F777C3FBAE064ECE7A7064E8B
비덴트 상장폐지 결정에 따른 소액주주 보호를 위한 검토 요청에 관한 청원,"수고많으십니다. 비덴트 주주로서 말씀드리고자 합니다. 한국거래소 코스닥시장위원회(1차 심의)에서 상장폐지 결정이 났습니다. 일부 경영진이 지은 범죄로 수십만 주주가 피해 받게되는 일이 없게 해주세요. 회사는 현재 내부통제 강화, 경영진 교체, 투명경영 등을 통해 정상화에 매진하고 있으며, 분명히 회복 가능성을 보여주고 있습니다. 과거 전 현직 경영진의 횡령 배임 혐의는 개인의 일탈이기 때문에 그들이 댓가를 치뤄야한다고 생각합니다. 그 책임을 기업 전체와 수많은 선량한 소액주주가 지게해서는 이는 자본시장법이 지향하는 투자자 보호 의 원칙과도 완전히 배치되는 결과입니다. 무작정 내리는 상장폐지가 답이 아니라, 투자자 보호 원칙에 따라 모두가 살수 있는 합리적 판단을 내려주시기를 간곡히 부탁드립니다. 제발 억울하게 모든 것을 잃게 생긴 수십만 소액주주의 절박한 목소리를 외면하지 말아주십시오. 간절한 마음으로 기다리겠습니다. 대통령님께서 지혜롭고 너그러운 결정을 해주시기를 다시한번 부탁드리며 감사합니다. ?",재정/세제/금융/예산,2362,https://petitions.assembly.go.kr/proceed/closed/3273C8706EE15CC0E064B49691C6967B
"대형엔터테인먼트사의 사회적 물의로 드러난 각종 법령의 미비점에 대한 청문회 및 입법 보완, 제정에 관한 청원","1. OOO OOO의 으뜸기업 선정 관련, 국감에서 선정 결정 과정에 대한 기록물이 없다고 알려졌습니다. 기록물법은 모든 공무원 은 ...업무와 관련하여 생산 접수한 기록물 을 보호 관리할 의무를 가지며 1년 이상 보관토록 합니다 으뜸기업은 세무조사 유예, 정기 근로감독 면제 등 200여개의 지원이 제공되는 바, 선정 관련 기록물이 없다면 큰 문제고, 추천과 선정 절차에 관한 문서가 파기 되었다면 국회는 청문회로 담당 공무원의 직무유기 등을 추궁하고 부처의 장에게 징계를 요구 하십시오 2. OOO가 동종업계에 대한 음해성 견해를 담은 보고서를 생산, 배포하고 집행했다는 의혹, 업종내의 독점적 플랫폼 OOO 유료화, 계열사간 내부거래 불성실 공시 및 레이블간 부당내부거래와 일감몰아주기, 음반밀어내기와 도박적 랜덤 포카 등의 공정거래 위반 의혹에 대해 국회는 청문회로 제재기관들의 조사, 조치 여부 및 현행법의 허점에 대해 개정 및 제정 추진바랍니다 3. 지난 9월에 보도된 OOO의 기자 로비 시도와 관련, 이 의혹에 대해 조사나 처벌 소식이 아직 없습니다. 함께 22년4월 100명의 기자를 해외로 부르며 항공권과, 숙소 제공 등 청탁금지법 위반 의혹에 대한 조사 처벌도 없는 등, 청문회에서 이에 대한 제재기관의 조사여부와 처벌의 확인 후, 청탁금지법 개정과 허위 및 과장 보도를 하는 언론 및 종사자에 대한 중한 처벌을 규정하는 언론중재법 개정을 요청합니다 4. ESG 선언 기업은 사회적 기업 인증 가능하고, 각종 세제 감면 등의 특혜를 받을 수 있으나, OOO의 ESG 보고서는 미흡함과 경영체계의 부실함이 드러난 바. 청문회로 확인 후, 혜택이 부여되는 인증부여시 그 적합성을 철저하게 검증하는 절차를 마련토록 관계기관에 요구하십시오 또한, 기업의 내부고발자에 대해, 노동조합의 결정을 표적으로, 재개발을 반대는 주민을 우월한 지위의 법인이 승소와 관계없이 소송하여 괴롭히는 소송을 규율할 수 있도록 OOO의 주주간계약 해지 소에 대한 청문회를 통해 실태 파악 후, 아래와 같은 내용의 특별법 제정과 상법 개정을 요청합니다 가. 피고는 제소에 대해 전략적 봉쇄소송이라는 신청을 할 수 있으며, 법원은 그에 대해 1개월내 판단하여야 하며, 해당 된다고 판단되면 즉시 기각토록 하는 것을 골자로 하는 특별법 제정 나. 법인이 개인을 상대로 소송을 제기할 때 이사진은 전략적봉쇄소송이 아님을 최선을 다해 확인해야 하며, 제기한 소가 전략적봉쇄소송으로 판정될 경우, 이사진에게 배임의 죄를 적용되는 내용을 개정 상법안에 추가해 주십시오 5. OOO의 과로사 문제에서, 본청원의 제기 시점까지 정혜경 의원이 요구한 자료 미제출, 사내 아티스트 보호 입장도 없고, 미사용 연월차 등록 뒤에도 근무토록 하는 살인적인 노동에 대한 직원들의 폭로에 대해, 국회는 청문회로 부당 노동행위 확인 및 담당부처에 감독 및 제재 요구 바랍니다 또한 국감의 아티스트는 인권을 존중하는 구성원이 아니 라는 증언등, 노동법의 보호 바깥에 있는 미성년 아티스트 및 노동자들의 권리를 위한 법 제정, 노동법 개정과 여자친구의 재결합, 12년, 8년만에 그룹명을 사용할 수 있게된 신화와 2NE1의 사례와 같은 소속사의 횡포로 고통받는 팬과 아티스트의 염원인 상표법 개정도 요청합니다",기타,"51,397명",https://petitions.assembly.go.kr/proceed/cmtReferred/264FE5D6B95F5641E064B49691C6967B
